epoch,train_loss,val_loss,val_acc,tag
0,1.9405331779748969,1.4524375629425048,0.4606,mixup
1,1.624286277171893,1.261531809234619,0.5515,mixup
2,1.419296773733237,0.9892358031272888,0.6587,mixup
3,1.299765496987563,1.0433621006011964,0.6389,mixup
4,1.2270091069050324,0.7883871871948243,0.7373,mixup
5,1.1409510140235608,0.6746692289352417,0.7949,mixup
6,1.1197175533343584,0.6702117411613464,0.7907,mixup
7,1.083736570446919,0.6793355466842651,0.7917,mixup
8,1.0299997856983771,0.6108583650588989,0.8137,mixup
9,0.9682846187016902,0.5747786645889282,0.8499,mixup
10,0.9667671508513964,0.6059674073219299,0.8308,mixup
11,0.95568699775598,0.5736827075004578,0.8445,mixup
12,0.9086931785711876,0.5867255842208863,0.8087,mixup
13,0.923208987330779,0.5016907046794892,0.8514,mixup
14,0.8755250787505737,0.5356145629405975,0.853,mixup
15,0.816124142247897,0.4761860888957977,0.8644,mixup
16,0.8524326653052599,0.4698922064304351,0.8753,mixup
17,0.8460547938560828,0.4759664458751678,0.8708,mixup
18,0.8555227804642457,0.498666500043869,0.8663,mixup
19,0.780967331563051,0.4662237463474273,0.8726,mixup
20,0.7755340519623879,0.4201588925361633,0.8882,mixup
21,0.7773307870595884,0.4101304565906524,0.892,mixup
22,0.7847965681782135,0.3619084212303161,0.901,mixup
23,0.7888534192855542,0.3784148818016052,0.9027,mixup
24,0.7927025122424731,0.4339973260402679,0.896,mixup
25,0.7289074307641922,0.4658937555074692,0.8876,mixup
26,0.7781453164915244,0.3618422295093536,0.9073,mixup
27,0.7594536184978027,0.411619821023941,0.9086,mixup
28,0.75961158693983,0.4021827108383178,0.904,mixup
29,0.6786189732643274,0.3709040630817413,0.8999,mixup
30,0.7546899554821161,0.3794421775341034,0.906,mixup
31,0.7221090101278745,0.3164571188449859,0.9168,mixup
32,0.7046824799516263,0.3827740198135376,0.91,mixup
33,0.6998738865630749,0.3216865353107452,0.9121,mixup
34,0.7129267305517808,0.3604167425394058,0.9119,mixup
35,0.6948014894834695,0.3605937665462494,0.9141,mixup
36,0.7109108259519323,0.2964719042301178,0.9205,mixup
