epoch,train_loss,val_loss,val_acc,tag
0,1.9409580062597225,1.4500721902847291,0.4667,mixup
1,1.621458831200233,1.2887648777008056,0.5479,mixup
2,1.4169386143867786,1.002894515991211,0.6542,mixup
3,1.2987647944535965,0.9196459162712096,0.6809,mixup
4,1.2253396769364675,0.739659644317627,0.7538,mixup
5,1.139638560704696,0.6660559967041015,0.7919,mixup
6,1.11744787807648,0.6632097396850586,0.788,mixup
7,1.0832168562289997,0.6720202897071839,0.8022,mixup
8,1.0275888069317891,0.6153341425895691,0.8078,mixup
9,0.9675955417828682,0.589376784992218,0.8444,mixup
10,0.9659375644647158,0.6112789022445678,0.8271,mixup
11,0.9530095195158934,0.5899452501773834,0.8419,mixup
12,0.907457077312164,0.5211403099060059,0.8339,mixup
13,0.9205410080842484,0.5350866449832916,0.8426,mixup
14,0.8760785732131738,0.523117430305481,0.8656,mixup
15,0.8126777476989306,0.5036306244850158,0.8535,mixup
16,0.8518050718001831,0.4634028169631958,0.8754,mixup
17,0.8458445900525802,0.4767410666465759,0.8759,mixup
18,0.8526743064706143,0.4688040878295898,0.8733,mixup
19,0.7805147633720667,0.4709013197422028,0.8683,mixup
20,0.7761985159264161,0.4323124622821808,0.886,mixup
21,0.7766412850946952,0.3943590133666992,0.8987,mixup
22,0.7864360317014731,0.3725455871105194,0.8975,mixup
23,0.790890652151444,0.4091265286445618,0.8888,mixup
24,0.792770832643295,0.4251417805194855,0.8967,mixup
25,0.732035664564524,0.4765622891426086,0.8819,mixup
26,0.7787478202428573,0.3851407297134399,0.8983,mixup
27,0.7632840991211243,0.4174465034484863,0.9003,mixup
28,0.7566018243630727,0.4006883495330811,0.9046,mixup
29,0.6778956731160481,0.3789569872379303,0.9025,mixup
30,0.7567330945665256,0.4004119325637817,0.8992,mixup
31,0.721558581913511,0.3447860377311706,0.9065,mixup
32,0.7089011570582023,0.3728423642158508,0.9135,mixup
33,0.6979162704486114,0.3291720824718475,0.9093,mixup
34,0.7135206677401678,0.3758558197498322,0.9056,mixup
35,0.6924442280418216,0.3527311479568481,0.913,mixup
36,0.7105468522852812,0.3188659171104431,0.9149,mixup
37,0.6979160212648985,0.3238989708900451,0.9216,mixup
38,0.6859051857621242,0.2918681045055389,0.9189,mixup
39,0.7033571880788375,0.3438441811561584,0.9176,mixup
40,0.6734201102207105,0.3295212838172912,0.9149,mixup
41,0.6466516373917842,0.3202727029800415,0.9275,mixup
42,0.6912085382172313,0.3426942486763,0.9265,mixup
43,0.6470662347160471,0.3091915173530579,0.9241,mixup
44,0.678278833331588,0.2943093686580658,0.9259,mixup
45,0.6981270110091338,0.3478963051319122,0.926,mixup
46,0.6530589065347344,0.3411611827373504,0.9251,mixup
47,0.6560431313581574,0.2849337879180908,0.9283,mixup
48,0.6153385023896892,0.3264876837730407,0.93,mixup
49,0.6655305907321282,0.2930862021446228,0.9315,mixup
50,0.6372964838758494,0.297837012887001,0.927,mixup
51,0.6677255980622692,0.3451189679145813,0.9254,mixup
52,0.6812244113295888,0.3260751919269561,0.9298,mixup
53,0.6043914390751758,0.2670009944438934,0.9332,mixup
54,0.6043810866391047,0.3266547221183777,0.9312,mixup
55,0.6662463714511921,0.3071938910484314,0.9329,mixup
56,0.6090434106019063,0.3486198974609375,0.9312,mixup
